Name,Quant mass,cF17,cF3,cF29,cF36,cF41,cF12,cF24,cF38,cF19,cF31,cF14,cF27,cF4,cF22,cF40,cF9,cF33,cF16,cF2,cF26,cF11,cF20,cF5,cF30,cF15,cF39,cF25,cF34,cF18,cF10,cF28,cF21
Dimethyl sulfone,94.004992,130732403.3,7167715657,11839253117,25831992.33,1141931.2,214454670,51114744,19957134,3.21E+10,17798643,3.60E+09,1.68E+09,1.17E+09,18742111,2.64E+09,452412.38,21561504,46304268,1564699.4,663262306,38733889,346751.33,2050123.5,160189.26,60354808,7412247.3,6143553.3,1315297,14324474,7.52E+09,7426113.6,2.82E+09
Dimethyl trisulfide,125.96995,8397378.522,623304398,393920159.8,102800803.5,15852.193,5844585.8,9139844.5,554300.98,1.49E+09,582604.53,150607592,1147448.3,97036314,2999715.6,895126.42,11937196,86636775,1687610.8,147888.66,579399.93,25227828,3309.5133,28112.091,27246.195,6326022.7,900062.79,146223.28,1232815.2,45797.29,1662421.6,2305002.8,178601243
Dodecane,57.095196,373116367.2,189077522,1362003138,935466461.4,940117.99,51148.25,190693840,6175841.9,1.68E+09,4799876.9,356717599,1.28E+09,1.43E+10,3.23E+09,677588810,335150169,1.40E+09,1194407.6,82422750,2.48E+09,197901269,8532595,7203052.3,18275802,7.35E+09,699896541,463548370,21877417,325190.32,4.68E+09,460652696,915661042
Ethylbenzene(1),91.076803,15820913234,1.12E+10,24852357298,21240914148,52916347,219699796,2.11E+09,20799397,3.60E+09,25924862,2.97E+09,6.28E+09,1.63E+11,1.63E+10,4.20E+09,109796478,1.73E+09,69749990,3883303.9,8.88E+09,33660678,2958276.1,576661847,899679.12,3.58E+10,8.21E+09,1.06E+09,37637939,1.05E+09,6.11E+10,8604469.6,3.72E+09
Ethylbenzene(2),91.078013,314258602.9,123878826,39341653.61,124426055.9,115245.24,758263.03,5925755.7,118710.23,30895554,45403.099,5580318.3,318189306,295631446,26890585,11513451,309898343,16685074,694547.11,46017563,21747128,26989197,311787.15,2167085.4,1.24E+09,55556642,15599684,121022989,1017009.9,5104948.9,141048101,64528554,109987481
Ethylbenzene(3),91.063313,21958663.01,606410617,784826943.8,2555338987,5480538.9,6016103.3,48531571,592957.77,274853638,1834821.5,66908416,540651214,48572149,416814043,9552974.9,8.79E+09,22756195,540377.55,2322650.8,21868889,88294458,605751212,4548594.4,1.08E+09,12440798,19107727,28187721,469706.13,987959489,70279055,13190636,70215773
Feature 00001,75.844572,2458874978,136558600,5554802267,3563072580,8253410.1,8019576.5,36216009,1468430.9,1.53E+09,3496987.9,703069140,149472771,1.29E+10,1.48E+09,330657334,679909389,1.14E+09,7309235.6,157885227,1.01E+09,1.48E+09,17262557,19671231,35644046,1.47E+09,497651288,1.15E+09,16972568,29327387,3.34E+09,932044965,1.70E+09
Feature 00002,53.009448,2.22E+11,4.99E+10,4.10E+11,1.93E+11,661252946,3.92E+09,1.78E+10,586531948,1.13E+11,210412189,4.81E+10,4.83E+10,1.44E+12,1.46E+11,2.65E+10,6.02E+10,1.40E+11,487808236,1.14E+10,3.13E+11,1.93E+11,1.89E+09,2.47E+09,3.69E+09,2.04E+11,5.54E+10,1.55E+11,2.50E+09,3.19E+09,3.13E+11,9.82E+10,2.13E+11
Feature 00003,90.404478,10307986829,4182109867,20886664158,16588836769,19700885,306010454,845181357,30598787,7.60E+09,15676956,2.44E+09,4.16E+09,5.24E+10,6.19E+09,1.49E+09,2.65E+09,2.51E+09,170386.87,241847808,288823179,6.10E+09,97556.495,57959649,37839211,4.16E+09,27458894,26230655,76671609,32188290,1.48E+10,1.65E+09,31407398
Feature 00004,120.54458,4357832423,1227732060,9164086063,5914516119,111539.4,70084110,390598066,13859245,2.77E+09,5680608.8,1.16E+09,1.44E+09,712891344,83016053,16095818,1.10E+09,10411318,143476.05,469132.83,857526.44,57813349,190009.23,3907554.9,69087.865,49429817,253769.31,2290135.5,857534.11,117112.91,157458426,1907052.8,21496803
Feature 00005,77.051746,50860241028,6268709489,54431830597,26694890790,195000209,295000908,2.82E+09,84929821,1.28E+10,30135823,6.70E+09,6.30E+09,1.46E+11,1.66E+10,692492447,1.25E+10,9.42E+09,90195978,3.06E+09,7.65E+09,1.21E+10,230417829,329571978,749556490,3.85E+09,6.15E+09,1.06E+10,440979421,181937283,2.85E+10,1.10E+10,5.84E+10
Feature 00006,77.033051,47123975876,5859699272,50403631120,24975752768,182278303,271241061,2.43E+09,73967959,1.08E+10,27935648,6.24E+09,5.95E+09,1.36E+11,1.55E+10,624452393,1.12E+10,7.86E+09,69627263,2.54E+09,6.81E+09,1.10E+10,182418404,277711816,579991222,2.83E+09,4.66E+09,8.61E+09,370304355,153864068,2.50E+10,9.39E+09,4.89E+10
Feature 00016,82.875153,1.18E+13,403271.96,2674325.628,7220704.048,89955.217,99355.857,6.43E+11,5687.4083,240601.45,1.74E+10,708769.25,2151237.7,4.20E+13,794575.13,918221.73,4.24E+12,2.43E+09,132861852,2.82E+09,3.32E+09,43459.884,238976104,212149625,32485.979,9.75E+09,2.55E+09,2.84E+09,97497670,6.68E+10,3.66E+12,4568745.9,1.09E+10
Feature 00022,83.944948,5.89E+12,2.36E+12,1.17E+13,1.09E+13,2.23E+10,9.19E+10,4.45E+11,1.53E+10,2.64E+12,8.66E+09,1.60E+12,2.71E+12,2.86E+13,3.15E+12,6.86E+11,2.23E+12,1.36E+09,82421319,1.44E+09,1.56E+09,1334445.9,4261900.4,116367673,643.47221,6.29E+09,48306016,1.25E+09,48241962,3.59E+10,2.26E+12,1.66E+09,4.56E+09
Feature 00033,83.144891,1.76E+13,8.58E+12,3.92E+13,3.83E+13,6.66E+10,2.53E+11,1.89E+12,7.11E+10,1.21E+13,3.03E+10,5.36E+12,9.67E+12,7.76E+13,8.56E+12,1.84E+12,8.32E+12,542859184,75816700,5018304.6,18157770,32735789,865082.3,74182528,582478.76,3.47E+09,1.30E+09,24926734,19329363,100559.86,2.52E+12,63137777,39102015
Feature 00035,83.106348,3.89E+13,3.95E+12,8.35E+13,7.63E+13,1.46E+11,6.13E+11,3.71E+12,1.36E+11,2.35E+13,6.21E+10,1.13E+13,6.57E+12,2.02E+14,2.22E+13,4.71E+12,1.67E+13,114997.31,164683611,2.18E+09,5654326.6,80381692,97695.015,217688155,250582.36,1.50E+10,4.73E+09,42595858,73708104,179257.02,4.22E+12,115780021,9248536.6
Feature 00036,83.06393,5.47E+13,4.52E+12,1.13E+14,1.04E+14,2.08E+11,8.82E+11,4.80E+12,1.72E+11,2.98E+13,8.52E+10,1.55E+13,4.51E+12,2.82E+14,3.08E+13,6.54E+12,2.24E+13,1.48E+10,672683935,6982410.3,630658971,18437022,372575.72,900721932,303178.22,6.80E+10,2.08E+10,864211620,387709508,67.004262,1.12E+13,0,39370971
Feature 00038,285.86952,9299792.5,199700981,3139866.708,457678213.7,10054.162,1711.0053,82672.498,1443.2615,3721849.3,35514.158,3891651.8,202737496,3466079.8,564272.11,2204035.5,161224.49,0,0,54278.784,0,0,0,0,0,0,1775.6733,0,0,0,1562601.3,0,0
Feature 00039,91.053262,77632161035,7396687481,1835564629,2.06E+11,403420800,21902700,148080327,3419596,844033544,109097018,2.14E+10,1.20E+10,3.01E+10,3.62E+09,886751431,193335.25,41832223,25190918,827570291,967758567,49461177,306853.77,94787805,32400480,6.69E+09,1.47E+09,446293844,3471570.4,147645.23,1.44E+10,65133772,89199043
Feature 00043,93.070971,8059294.307,1310016367,33975168.31,42576890.27,63518.394,73064.796,485813,122613.05,5002690.4,34219166,3.21E+09,24602462,8.62E+09,19468433,3152474.4,1.52E+09,8142216.5,243374.51,11061387,4474700.9,24505096,435796.73,114351.23,155781.55,11478489,960220.87,3225975.1,17182.866,4376.4899,16857473,2.42E+09,65231156
